person_id;studycode;choice;purpose;av_bf;av_v;av_cp;av_cs;av_pt;c_cp;c_cs;c_pt;tt_bf;tt_v;tt_cp;tt_cs;tt_pt;acc_cp;acc_cs;acc_pt;r_cp;s_pt;tr_pt;cost;time;acc;risk;trns;freq;distance;count
001P;wave2;3;2;0;0;1;1;1;2;11.6;3.2;-97;-97;34;31;31;8;4;10;5;15;1;0;0;1;0;0;0;13.60675;8
001P;wave2;5;2;0;0;1;1;1;2.8;8.4;4.4;-97;-97;27;31;31;4;8;15;5;10;0;0;0;1;0;0;0;13.60675;8
001P;wave2;5;2;0;0;1;1;1;3.5;14.7;3.2;-97;-97;27;19;31;8;4;12;10;10;0;0;0;1;0;0;0;13.60675;8
001P;wave2;4;2;0;0;1;1;1;2.8;8.4;4.4;-97;-97;27;31;25;4;4;10;20;10;2;0;0;1;0;0;0;13.60675;8
001P;wave2;3;2;0;0;1;1;1;2;8.4;3.2;-97;-97;27;31;19;8;8;12;5;20;1;0;0;1;0;0;0;13.60675;8
001P;wave2;4;2;0;0;1;1;1;2;8.4;3.2;-97;-97;20;25;31;6;4;15;20;20;2;0;0;1;0;0;0;13.60675;8
001P;wave2;3;2;0;0;1;1;1;3.5;14.7;5.6;-97;-97;27;19;31;6;8;10;5;20;2;0;0;1;0;0;0;13.60675;8
001P;wave2;5;2;0;0;1;1;1;3.5;11.6;3.2;-97;-97;20;19;19;4;8;15;10;15;2;0;0;1;0;0;0;13.60675;8
002P;wave2;3;2;0;1;1;1;1;2;12.9;6.4;-97;59;17;21;25;8;6;11;5;10;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;10.1;8.8;-97;59;17;21;19;6;4;9;5;20;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2;10.1;8.8;-97;59;17;21;19;6;6;11;10;15;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;3.5;10.1;6.4;-97;59;28;26;31;6;6;11;10;20;0;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;10.1;11.2;-97;59;28;26;31;8;6;11;20;10;2;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;7.3;6.4;-97;59;23;16;31;8;8;7;20;20;1;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;2.8;7.3;6.4;-97;59;28;21;31;4;6;9;5;10;2;0;0;1;1;1;1;13.28245;8
002P;wave2;3;2;0;1;1;1;1;3.5;7.3;6.4;-97;59;17;21;25;8;6;7;10;15;2;0;0;1;1;1;1;13.28245;8
003P;pretest;4;3;0;0;1;1;1;5;18.4;3.8;-97;-97;28;26;35;5;6;5;10;10;2;0;0;0;0;1;0;20.012;8
